Ukwengeza	U[NPrePre15]kw[BPre15]engez[VRoot]a[VerbTerm]	U_kw_engez_a	NPrePre15_BPre15_VRoot_VerbTerm
,	,[PUNC]	,	PUNC
umthetho	u[NPrePre3]m[BPre3]thetho[NStem]	u_m_thetho	NPrePre3_BPre3_NStem
wenziwe	w[SC3]enz[VRoot]iw[PassExt]e[VerbTerm]	w_enz_iw_e	SC3_VRoot_PassExt_VerbTerm
mayelana	mayelana[NStem]	mayelana	NStem
nokwakhiwa	no[AdvPre]kw[BPre15]akh[VRoot]iw[PassExt]a[VerbTerm]	no_kw_akh_iw_a	AdvPre_BPre15_VRoot_PassExt_VerbTerm
kwamakomidi	kwa[PossConc15]ma[BPre6]komidi[NStem]	kwa_ma_komidi	PossConc15_BPre6_NStem
wamawadi	wa[PossConc6]ma[BPre6]wadi[NStem]	wa_ma_wadi	PossConc6_BPre6_NStem
,	,[PUNC]	,	PUNC
njengemikhakha	njenge[AdvPre]mikhakha[NStem]	njenge_mikhakha	AdvPre_NStem
eyelelisako	e[RelConc4]yelelis[VRoot]a[VerbTerm]ko[RelSuf]	e_yelelis_a_ko	RelConc4_VRoot_VerbTerm_RelSuf
efaka	e[RelConc9]fak[VRoot]a[VerbTerm]	e_fak_a	RelConc9_VRoot_VerbTerm
abajameli	a[NPre2]ba[BPre2]jameli[NStem]	a_ba_jameli	NPre2_BPre2_NStem
bakamasipala	ba[PossConc2]ka[PossKA]masipala[NStem]	ba_ka_masipala	PossConc2_PossKA_NStem
nebomphakathi	ne[AdvPre]bo[PossConc2]m[BPre3]phakathi[NStem]	ne_bo_m_phakathi	AdvPre_PossConc2_BPre3_NStem
ukobana	ukobana[Conj]	ukobana	Conj
bakhambise	ba[SC2]khamb[VRoot]is[CausExt]e[VerbTerm]	ba_khamb_is_e	SC2_VRoot_CausExt_VerbTerm
iindingo	i[NPrePre8]i[NPrePre8]n[BPre8]dingo[NStem]	i_i_n_dingo	NPrePre8_NPrePre8_BPre8_NStem
zomphakathi	zo[PossConc8]m[BPre3]phakathi[NStem]	zo_m_phakathi	PossConc8_BPre3_NStem
neemphakamiso	ne[AdvPre]e[LocPre]m[BPre3]phakamiso[NStem]	ne_e_m_phakamiso	AdvPre_LocPre_BPre3_NStem
bazise	ba[SC2]zis[VRoot]e[VerbTerm]	ba_zis_e	SC2_VRoot_VerbTerm
kumkhandlu	ku[BPre15]m[BPre15]khandlu[NStem]	ku_m_khandlu	BPre15_BPre15_NStem
.	.[PUNC]	.	PUNC
Ikambiso	i[NPrePre9]kambiso[NStem]	i_kambiso	NPrePre9_NStem
ekabili	e[LocPre]ka[AdvPre]bili[NStem]	e_ka_bili	LocPre_AdvPre_NStem
yokujameleka	yo[PossConc9]ku[BPre15]jameleka[NStem]	yo_ku_jameleka	PossConc9_BPre15_NStem
kumawadi	ku[PossConc9]mawadi[NStem]	ku_mawadi	PossConc9_NStem
nokujameleka	no[AdvPre]ku[BPre15]jamelek[Intrans]a[VerbTerm]	no_ku_jamelek_a	AdvPre_BPre15_Intrans_VerbTerm
ngokweengcenye	ngo[AdvPre]kwe[PossConc15]e[LocPre]n[BPre3]gcenye[NStem]	ngo_kwe_e_n_gcenye	AdvPre_PossConc15_LocPre_BPre3_NStem
itjho	i[SC9]tjh[VRoot]o[VerbTerm]	i_tjh_o	SC9_VRoot_VerbTerm
bona	bona[AbsPron2]	bona	AbsPron2
